Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,predicted_class
0,3,0,0,3,2,retweet euro euro woman euro euro shouldnt euro complain euro euro cleaning euro euro euro house euro euro euro euro man euro euro euro always euro take euro euro trash euro,2
1,3,0,3,0,1,retweet boy euro euro coldtyga euro euro bad euro euro cuffin euro euro hoe euro euro euro 1st euro place,2
2,3,0,3,0,1,retweet friend euro retweet euro ever euro fuck euro euro bitch euro euro euro start euro euro cry euro euro euro confused euro euro shit,2
3,3,0,2,1,1,retweet euro look euro like euro euro tranny,2
4,6,0,6,0,1,retweet euro shit euro euro hear euro euro euro might euro euro true euro euro euro might euro euro faker euro euro euro bitch euro euro told euro euro euro,2
5,3,1,2,0,1,euro shit euro euro blow euro meclaim euro euro euro faithful euro euro euro euro somebody euro euro still euro fucking euro euro hoe,2
6,3,0,3,0,1,euro euro euro euro sit euro euro euro hate euro euro another euro bitch euro got euro euro much euro shit euro going euro,2
7,3,0,3,0,1,cause euro euro tired euro euro euro big euro bitch euro coming euro euro u euro skinny euro girl,2
8,3,0,3,0,1,euro euro might euro euro get euro euro bitch euro back euro euro thats euro,2
9,3,1,2,0,1,hobby euro include euro fighting euro mariam bitch,2
10,3,0,3,0,1,keeks euro euro euro bitch euro euro curve euro everyone laughing loud euro euro walked euro euro euro conversation euro like euro euro shake head,2
11,3,0,3,0,1,murda euro gang euro bitch euro euro gang euro land,2
12,3,0,2,1,1,euro hoe euro euro smoke euro euro loser yea go euro euro instagram,2
13,3,0,3,0,1,bad euro bitch euro euro euro euro thing euro euro euro like,2
14,3,1,2,0,1,bitch euro get euro euro euro,2
15,3,0,3,0,1,bitch euro nigga euro miss euro euro euro,2
16,3,0,3,0,1,bitch euro please euro whatever,2
17,3,1,2,0,1,bitch euro euro euro euro love,2
18,3,0,3,0,1,bitch euro get euro cut euro euro everyday euro b,2
19,3,0,3,0,1,black euro bottle euro euro euro bad euro bitch,2
20,3,0,3,0,1,broke euro bitch euro cant euro tell euro euro nothing,0
21,3,0,3,0,1,cancel euro euro bitch euro like euro nino,2
22,3,0,3,0,1,cant euro euro see euro euro hoe euro wont euro change,2
23,3,0,3,0,1,fuck euro euro euro bitch euro dont euro even euro suck euro dick euro kermit euro video euro euro euro fuck euro instagram euro,2
24,3,0,3,0,1,got euro euro bitch euro tip euro toeing euro euro euro hardwood euro floor,2
25,3,0,2,1,1,euro pussy euro lip euro like euro heaven euro door,2
26,3,0,3,0,1,hoe euro euro euro hitting euro,2
27,3,0,3,0,1,euro met euro euro pussy euro euro ocean euro dr euro gave euro euro pussy euro euro pill,2
28,3,0,3,0,1,euro need euro euro trippy euro bitch euro euro fuck euro euro hennessy,2
29,3,0,3,0,1,euro spend euro euro money euro euro euro want euro bitch euro euro euro business,2
30,3,0,3,0,1,euro text euro euro old euro bitch euro euro new euro bitch euro pussy euro wetter,2
31,3,0,3,0,1,identification euro say euro euro back euro euro euro old euro euro euro euro old euro bitch euro would euro get euro excited,2
32,3,0,3,0,1,euro euro euro euro euro murder euro game euro pussy euro nigga euro shut euro,2
33,3,0,3,0,1,euro youre euro toe euro euro done euro euro pussy euro stink,2
34,3,0,3,0,1,euro done euro euro bitter euro bitch euro euro euro wrap euro euro euro euro euro angry euro bird euro there euro euro application euro euro,2
35,3,0,3,0,1,euro euro euro bitch,2
36,3,0,3,0,1,euro euro nothing euro euro cut euro euro bitch euro,2
37,3,0,3,0,1,euro meet euro son euro euro euro euro mane euro as euro bitch,2
38,3,0,2,1,1,lame euro cry euro euro hoe euro thats euro tear euro euro euro clown,2
39,3,0,3,0,1,like euro snoop euro said euro euro dont euro love euro euro hoe,2
40,3,0,1,2,2,momma euro said euro euro pussy euro cat euro inside euro euro doghouse,2
41,3,0,3,0,1,euro hated euro euro euro hoe euro favorite,2
42,3,0,3,0,1,nice euro girl euro bad euro make euro euro get euro naughty euro bad euro yello euro hoe euro real euro nice euro body euro euro south euro chick euro like euro em euro real euro thick,2
43,3,0,3,0,1,pimp euro euro pimp euro euro hoe euro future euro voice,2
44,3,0,3,0,1,post euro euro picture euro euro euro pussy euro get like,2
45,3,0,3,0,1,pussy euro euro euro powerful euro drug,2
46,3,0,3,0,1,quick euro piece euro euro pussy euro call euro euro euro drive euro,2
47,3,0,3,0,1,running euro round euro euro like euro euro brand euro new euro pussy euro thats euro euro euro get euro fucked,2
48,3,0,3,0,1,euro bitch euro even euro worst euro theyll euro send euro euro guy euro euro,2
49,3,1,2,0,1,euro hoe euro like euro nigga euro euro spend euro money euro euro talk euro euro,2
50,3,1,2,0,1,euro dont euro trust euro euro nigga euro euro euro bitch,2
